transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1,12/16/2022,19:10:00,50,Male,34,Beauty,3,50,16,150
2,6/24/2022,10:07:00,104,Female,26,Clothing,2,500,135,1000
3,6/14/2022,7:08:00,114,Male,50,Electronics,1,30,8.1,30
4,8/27/2023,18:12:00,3,Male,37,Clothing,1,500,200,500
5,9/5/2023,22:10:00,3,Male,30,Beauty,2,50,24,100
6,11/15/2023,22:16:00,2,Female,45,Beauty,1,30,15,30
7,7/6/2023,6:24:00,38,Male,46,Clothing,2,25,13.25,50
8,12/27/2022,11:19:00,148,Male,30,Electronics,4,25,11,100
9,12/2/2022,13:12:00,85,Male,63,Electronics,2,300,78,600
10,10/24/2022,22:55:00,81,Female,52,Clothing,4,50,62.5,200
11,2/27/2022,10:30:00,151,Male,23,Clothing,2,50,23.5,100
12,12/9/2022,22:09:00,114,Male,35,Beauty,3,25,25.25,75
13,2/8/2023,17:43:00,106,Male,22,Electronics,3,500,245,1500
14,5/18/2022,7:11:00,8,Male,64,Clothing,4,30,13.2,120
15,7/1/2022,11:50:00,75,Female,42,Electronics,4,500,210,2000
16,6/25/2022,10:33:00,82,Male,19,Clothing,3,500,180,1500
17,2/25/2023,21:08:00,3,Female,27,Clothing,4,25,13,100
18,9/6/2023,19:13:00,5,Female,47,Electronics,2,25,12.5,50
19,11/26/2023,19:39:00,30,Female,62,Clothing,2,25,28.5,50
20,12/12/2023,21:35:00,85,Male,22,Clothing,3,300,345,900
21,7/11/2022,7:33:00,59,Female,50,Beauty,1,500,275,500
22,11/25/2023,17:11:00,66,Male,18,Clothing,2,50,60.5,100
23,9/28/2023,7:05:00,4,Female,35,Clothing,4,30,14.7,120
24,12/14/2023,22:59:00,59,Female,49,Clothing,1,300,87,300
25,11/20/2022,14:32:00,61,Female,64,Beauty,1,50,19,50
26,10/14/2023,17:54:00,51,Female,28,Electronics,2,500,600,1000
27,12/14/2023,19:44:00,39,Female,38,Beauty,2,25,8.25,50
28,12/11/2023,22:34:00,3,Female,43,Beauty,1,500,150,500
29,3/8/2022,20:10:00,31,Female,42,Electronics,1,30,13.5,30
30,10/10/2023,20:05:00,59,Female,39,Beauty,3,300,285,900
31,12/31/2023,17:47:00,3,Male,44,Electronics,4,300,129,1200
32,7/16/2022,9:11:00,150,Male,30,Beauty,3,30,8.4,90
33,12/24/2023,7:40:00,33,Female,50,Electronics,2,50,21,100
34,9/24/2023,13:26:00,87,Female,51,Clothing,3,50,17,150
35,10/29/2022,17:30:00,122,Female,58,Beauty,3,300,126,900
36,2/22/2023,22:06:00,40,Male,52,Beauty,3,300,144,900
37,5/26/2023,22:42:00,2,Female,18,Beauty,3,25,8.75,75
38,2/25/2023,11:39:00,147,Male,38,Beauty,4,50,26,200
39,7/11/2023,22:44:00,5,Male,23,Clothing,4,30,8.7,120
40,6/7/2022,21:33:00,78,Male,45,Beauty,1,50,24.5,50
41,10/11/2022,10:36:00,88,Male,34,Clothing,2,25,13.25,50
42,12/8/2022,8:29:00,63,Male,22,Clothing,3,300,147,900
43,3/18/2023,21:42:00,118,Female,48,Clothing,1,300,111,300
44,3/3/2022,11:07:00,93,Female,22,Clothing,1,25,11.75,25
45,3/20/2022,18:27:00,121,Female,55,Electronics,1,30,10.5,30
46,11/8/2022,17:50:00,54,Female,20,Electronics,4,300,84,1200
47,10/22/2022,17:22:00,96,Female,40,Beauty,3,500,600,1500
48,10/6/2023,17:34:00,2,Male,54,Electronics,3,300,123,900
49,9/17/2022,10:33:00,37,Female,54,Electronics,2,500,255,1000
50,3/29/2022,18:51:00,71,Female,27,Beauty,3,25,10.5,75
51,10/12/2022,22:09:00,78,Male,27,Beauty,3,25,24.75,75
52,9/19/2022,9:42:00,55,Female,36,Beauty,1,300,111,300
53,1/6/2022,17:57:00,32,Male,34,Electronics,2,50,22,100
54,10/20/2022,10:17:00,142,Female,38,Electronics,3,500,200,1500
55,9/28/2023,20:32:00,57,Male,31,Beauty,4,30,31.8,120
56,12/27/2022,19:37:00,97,Female,26,Clothing,3,300,120,900
57,10/11/2022,20:12:00,64,Female,63,Beauty,1,30,10.2,30
58,9/16/2023,19:18:00,53,Male,18,Clothing,4,300,75,1200
59,11/14/2022,18:28:00,61,Male,62,Clothing,1,50,27,50
60,12/4/2022,18:15:00,91,Male,30,Beauty,3,50,60.5,150
61,7/7/2023,11:47:00,4,Male,21,Beauty,4,50,20,200
62,9/16/2023,12:54:00,50,Male,18,Beauty,2,50,26.5,100
63,2/3/2022,11:49:00,127,Male,57,Electronics,2,25,6.25,50
64,11/15/2022,6:34:00,7,Male,49,Clothing,4,25,8.5,100
65,12/11/2022,20:03:00,84,Male,51,Electronics,4,500,160,2000
66,6/18/2023,22:49:00,3,Female,45,Electronics,1,30,9,30
67,8/19/2023,20:19:00,119,Female,48,Beauty,4,300,129,1200
68,12/15/2022,9:06:00,146,Male,25,Electronics,1,300,84,300
69,11/14/2023,22:44:00,1,Female,56,Beauty,3,25,8.5,75
70,12/27/2022,10:48:00,147,Female,43,Clothing,1,300,84,300
71,2/16/2023,19:11:00,32,Female,51,Beauty,4,25,11.5,100
72,12/6/2023,19:19:00,5,Female,20,Electronics,4,500,195,2000
73,1/14/2022,21:47:00,42,Male,29,Electronics,3,30,9,90
74,10/5/2023,19:50:00,56,Female,18,Beauty,4,500,205,2000
75,5/15/2023,20:51:00,110,Male,61,Beauty,4,50,13.5,200
76,9/9/2023,7:33:00,70,Female,22,Electronics,2,50,14.5,100
77,4/7/2022,20:45:00,44,Female,47,Clothing,2,50,24,100
78,2/17/2023,21:08:00,68,Female,47,Clothing,3,500,265,1500
79,4/13/2023,10:15:00,1,Male,34,Beauty,1,300,96,300
80,10/22/2023,16:51:00,82,Female,64,Clothing,2,30,12.3,60
81,6/7/2023,22:48:00,4,Male,40,Electronics,1,50,14.5,50
82,9/8/2022,12:55:00,85,Female,32,Beauty,4,50,15,200
83,11/27/2022,15:57:00,56,Male,54,Electronics,2,50,16.5,100
84,11/10/2023,17:17:00,89,Female,38,Electronics,3,30,10.2,90
85,9/3/2022,8:05:00,68,Male,31,Clothing,3,50,19,150
86,9/29/2023,18:55:00,69,Male,19,Beauty,3,30,15.6,90
87,9/7/2022,18:09:00,104,Female,28,Beauty,2,50,15.5,100
88,2/16/2023,8:31:00,122,Male,56,Clothing,1,500,185,500
89,12/30/2023,21:15:00,117,Female,55,Electronics,4,500,590,2000
90,9/10/2023,17:53:00,3,Female,51,Electronics,1,30,13.5,30
91,4/14/2023,6:31:00,152,Female,55,Electronics,1,500,235,500
92,3/21/2022,19:41:00,10,Female,51,Electronics,4,30,8.7,120
93,1/25/2022,20:52:00,148,Female,35,Beauty,4,500,140,2000
